is_match,tournament,round,player_1,deck_1,player_2,deck_2,playlist_id,original_title
True,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship,Unknown,Charley Futch III,Unknown,Wu Hung-Wei,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG Dragon Duel World Championship - Charley Futch III vs Wu Hung-Wei
True,2018 Yu-Gi-Oh! TCG World Championship,Unknown,Akira Hasegawa,Unknown,Gabriel Vargas,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Akira Hasegawa vs Gabriel Vargas
True,2018 Yu-Gi-Oh! TCG World Championship,Quarter-Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Quarter-Final
True,2018 Yu-Gi-Oh! TCG World Championship,3rd Place Playoff,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - 3rd Place Playoff
True,2018 Yu-Gi-Oh! TCG World Championship,Semi-Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Semi-Final
True,2018 Yu-Gi-Oh! TCG World Championship,Unknown,Ryosuke Tsujimura,Unknown,Poe Jiang,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Ryosuke Tsujimura vs Poe Jiang
True,2018 Yu-Gi-Oh! Duel Links World Championship,Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! Duel Links World Championship - Final
True,2018 Yu-Gi-Oh! TCG World Dragon Duel Championship,Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Dragon Duel Championship - Final
True,2018 Yu-Gi-Oh! TCG World Championship,Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsNALbcx6KJ8V5a2-mYLUCn,2018 Yu-Gi-Oh! TCG World Championship - Final & Award Ceremony
True,2016 WCQ: UK National,Final,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Final
True,2016 WCQ: UK National,Top 4,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Top 4
True,2016 WCQ: UK National,Top 8,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Top 8
True,2016 WCQ: UK National,Top 16,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Top 16
True,2016 WCQ: UK National,Top 32,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Top 32
True,2016 WCQ: UK National,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 10 (Part 2)
True,2016 WCQ: UK National,Top 64,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Top 64
True,2016 WCQ: UK National,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 10 (Part 1)
True,2016 WCQ: UK National,Round 9,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 9
True,2016 WCQ: UK National,Round 8,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 8
True,2016 WCQ: UK National,Round 6,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 6
True,2016 WCQ: UK National,Round 7,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 7
True,2016 WCQ: UK National,Round 4,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 4
True,2016 WCQ: UK National,Round 5,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 5
True,2016 WCQ: UK National,Round 3,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 3
True,2016 WCQ: UK National,Round 1,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 1 (Part 1)
True,2016 WCQ: UK National,Round 2,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 2
True,2016 WCQ: UK National,Round 1,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbsidpr96G4FFXf9GvdMh-lB,2016 WCQ: UK National | Round 1 (Part 2)
True,YCS Utrecht 2020,Round 3,Eugen Heidt,Unknown,Alpay Engin,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 3 - Eugen Heidt vs. Alpay Engin
True,YCS Utrecht 2020,Round 4,Thomas Williams,Unknown,Alex Robertson,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 4 - Thomas Williams vs. Alex Robertson
True,YCS Utrecht 2020,Round 1,Niko Schlierkamp,Unknown,Kian Shahbazi,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 1 - Niko Schlierkamp vs. Kian Shahbazi
True,YCS Utrecht 2020,Round 2,Martin Perleberg,Unknown,Anil Toprak,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 2 - Martin Perleberg vs. Anil Toprak
True,YCS Utrecht 2020,Round 5,Conor Moran,Unknown,Kevin Goncalves-Rodrigues,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 5 - Conor Moran vs. Kevin Goncalves-Rodrigues
True,YCS Utrecht 2020,Round 10,Efstratios Tzanos,Unknown,Johannes Wagner,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 10 - Efstratios Tzanos vs. Johannes Wagner
True,YCS Utrecht 2020,Round 6,Daniel Schwarze,Unknown,Herman Hansson,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 6 - Daniel Schwarze vs. Herman Hansson
True,YCS Utrecht 2020,Round 8,Zahab Shah,Unknown,Daniel Neubauer,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 8 - Zahab Shah vs. Daniel Neubauer
True,YCS Utrecht 2020,Round 9,Adler Rusty,Unknown,Zoltan Jr. Kolonics,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 9 - Adler Rusty vs. Zoltan Jr. Kolonics
True,YCS Utrecht 2020,Round 12,Jakob Bentzen,Unknown,Quentin Royer,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 12 - Jakob Bentzen vs. Quentin Royer
True,YCS Utrecht 2020,Round 11,Loan Cite-Miielle,Unknown,Niklas-Peter Wand,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 11 - Loan Cite-Miielle vs. Niklas-Peter Wand
True,Yu-Gi-Oh Championship Series - Utrecht,Round 1,Bohdan Temnyk,Unknown,Ulysse Rissons,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 1 - Bohdan Temnyk vs. Ulysse Rissons
